Ad_ID,Property_Type,Location_Detail,Price,Area,Bedrooms,Bathrooms,Latitude,Longitude,Date_Added,Price per marla,Price per marla per bedroom,Location_specific,Locality
52552560,House,"DHA Phase 7, DHA Defence, Lahore",66000000,20,5,6,31.484893,74.472342,5/30/2025,3300000,660000,DHA Phase 7, DHA Defence
52615735,House,"Chungi Amar Sadhu, Lahore",5000000,2,3,3,31.450925,74.354287,5/30/2025,2500000,833333.3333,Chungi Amar Sadhu,Chungi Amar Sadhu
52599565,House,"Lake City, Raiwind Road, Lahore",57500000,10,6,7,31.359647,74.253073,5/30/2025,5750000,958333.3333,Lake City, Raiwind Road
52135223,House,"DHA Phase 5, DHA Defence, Lahore",120000000,20,5,6,31.463665,74.400616,5/30/2025,6000000,1200000,DHA Phase 5, DHA Defence
52657511,Flat,"The Spring Apartment Homes, Main Canal Bank Road, Lahore",4000000,4,2,2,31.413029,74.168558,5/30/2025,1000000,500000,The Spring Apartment Homes, Main Canal Bank Road
52034712,House,"DHA Phase 8, DHA Defence, Lahore",82500000,20,5,6,31.494408,74.437666,5/30/2025,4125000,825000,DHA Phase 8, DHA Defence
52655072,House,"DHA 9 Town, DHA Defence, Lahore",22500000,5,3,4,31.44082,74.438589,5/30/2025,4500000,1500000,DHA 9 Town, DHA Defence
52644118,House,"DHA Phase 8, DHA Defence, Lahore",95000000,20,5,6,31.488411,74.45397,5/30/2025,4750000,950000,DHA Phase 8, DHA Defence
52656944,House,"Green City, Lahore",24500000,5,3,3,31.519727,74.45996,5/30/2025,4900000,1633333.333,Green City,Green City
52613086,House,"DHA Phase 6, DHA Defence, Lahore",119900000,20,6,6,31.48116,74.456792,5/30/2025,5995000,999166.6667,DHA Phase 6, DHA Defence
52646517,House,"DHA Phase 5, DHA Defence, Lahore",65000000,10,5,6,31.459491,74.395294,5/30/2025,6500000,1300000,DHA Phase 5, DHA Defence
52191920,House,"DHA Phase 7, DHA Defence, Lahore",90000000,20,5,7,31.484893,74.472342,5/30/2025,4500000,900000,DHA Phase 7, DHA Defence
52576060,House,"DHA Phase 3, DHA Defence, Lahore",59900000,20,5,6,31.475378,74.373808,5/30/2025,2995000,599000,DHA Phase 3, DHA Defence
52576065,House,"DHA Phase 6, DHA Defence, Lahore",45000000,7,3,4,31.471571,74.445906,5/30/2025,6428571.429,2142857.143,DHA Phase 6, DHA Defence
52310780,Flat,"Askari 10, Askari, Lahore",34500000,10,3,3,31.533849,74.409633,5/30/2025,3450000,1150000,Askari 10, Askari
52576080,House,"DHA 9 Town, DHA Defence, Lahore",22500000,5,3,4,31.44082,74.438589,5/30/2025,4500000,1500000,DHA 9 Town, DHA Defence
52658443,House,"Lalpul, Mughalpura, Lahore",9500000,3,3,3,31.563398,74.3891,5/30/2025,3166666.667,1055555.556,Lalpul, Mughalpura
51831064,House,"DHA Phase 7, DHA Defence, Lahore",79900000,20,5,6,31.484893,74.472342,5/30/2025,3995000,799000,DHA Phase 7, DHA Defence
51831088,House,"DHA Phase 8, DHA Defence, Lahore",79900000,20,5,6,31.494408,74.437666,5/30/2025,3995000,799000,DHA Phase 8, DHA Defence
